,Date,Time,Temp,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
51,2016-01-03,3:51 AM,37.0,28.9,24.1,59%,29.89,10.0,SW,12.7,,N/A,,Clear
52,2016-01-03,4:51 AM,37.0,28.1,25.0,62%,29.88,10.0,SW,15.0,,N/A,,Partly Cloudy
53,2016-01-03,5:51 AM,37.0,29.3,26.1,65%,29.87,10.0,SW,11.5,,N/A,,Clear
54,2016-01-03,6:51 AM,37.9,29.2,26.1,62%,29.88,10.0,SW,15.0,,N/A,,Clear
55,2016-01-03,7:51 AM,39.9,32.5,27.0,60%,29.87,10.0,WSW,12.7,,N/A,,Clear
56,2016-01-03,8:51 AM,42.1,34.2,23.0,47%,29.88,10.0,WSW,16.1,,N/A,,Clear
57,2016-01-03,9:51 AM,45.0,37.6,23.0,42%,29.88,10.0,WSW,17.3,,N/A,,Partly Cloudy
58,2016-01-03,10:51 AM,46.9,,23.0,39%,29.86,10.0,WSW,17.3,,N/A,,Partly Cloudy
59,2016-01-03,11:51 AM,48.0,,21.0,34%,29.83,10.0,WSW,20.7,27.6,N/A,,Scattered Clouds
60,2016-01-03,12:51 PM,48.0,,21.9,36%,29.80,10.0,WNW,18.4,23.0,N/A,,Scattered Clouds
61,2016-01-03,1:51 PM,46.9,,21.0,36%,29.82,10.0,West,17.3,,N/A,,Scattered Clouds
62,2016-01-03,2:51 PM,45.0,37.6,21.9,40%,29.82,10.0,WNW,17.3,23.0,N/A,,Scattered Clouds
63,2016-01-03,3:51 PM,44.1,36.2,21.9,42%,29.83,10.0,WNW,18.4,,N/A,,Scattered Clouds
64,2016-01-03,4:51 PM,42.1,35.7,21.9,45%,29.86,10.0,WNW,11.5,,N/A,,Mostly Cloudy
65,2016-01-03,5:51 PM,43.0,35.4,21.9,43%,29.87,10.0,West,16.1,23.0,N/A,,Mostly Cloudy
66,2016-01-03,6:51 PM,42.1,34.9,21.0,43%,29.90,10.0,West,13.8,20.7,N/A,,Scattered Clouds
67,2016-01-03,7:51 PM,41.0,34.3,21.9,47%,29.90,10.0,West,11.5,,N/A,,Partly Cloudy
68,2016-01-03,8:51 PM,39.0,32.3,23.0,53%,29.89,10.0,West,10.4,,N/A,,Partly Cloudy
69,2016-01-03,9:51 PM,39.0,32.3,24.1,55%,29.90,10.0,West,10.4,,N/A,,Partly Cloudy
70,2016-01-03,10:51 PM,37.9,31.5,24.1,57%,29.91,10.0,West,9.2,,N/A,,Partly Cloudy
71,2016-01-03,11:51 PM,37.9,30.9,24.1,57%,29.91,10.0,West,10.4,,N/A,,Scattered Clouds
72,2016-01-04,12:51 AM,37.9,31.5,25.0,60%,29.89,10.0,WNW,9.2,,N/A,,Mostly Cloudy
73,2016-01-04,1:51 AM,37.9,29.6,23.0,55%,29.90,10.0,NW,13.8,23.0,N/A,,Mostly Cloudy
74,2016-01-04,2:51 AM,37.0,26.7,19.0,48%,29.90,10.0,NNW,19.6,,N/A,,Mostly Cloudy
