date,dowAvg,dailyChange
42608,18395.4,-53.01
42609,18395.4,0
42610,18395.4,0
42611,18502.99,107.59
42612,18454.3,-48.69
42613,18400.88,-53.42
42614,18419.3,18.42
42615,18491.96,72.66
42616,18491.96,0
42617,18491.96,0
42618,18491.96,0
42619,18538.12,46.16
42620,18526.14,-11.98
42621,18479.91,-46.23
42622,18085.45,-394.46
42623,18085.45,0
42624,18085.45,0
42625,18325.07,239.62
42626,18066.75,-258.32
42627,18034.77,-31.98
42628,18212.48,177.71
42629,18123.8,-88.68
42630,18123.8,0
42631,18123.8,0
42632,18120.17,-3.63
42633,18129.96,9.79
42634,18293.7,163.74
42635,18392.46,98.76
42636,18261.45,-131.01
42637,18261.45,0
42638,18261.45,0
42639,18094.83,-166.62
42640,18228.3,133.47
42641,18339.24,110.94
42642,18143.45,-195.79
42643,18308.15,164.7
42644,18308.15,0
42645,18308.15,0
42646,18253.85,-54.3
42647,18168.45,-85.4
42648,18281.03,112.58
42649,18268.5,-12.53
42650,18240.49,-28.01
42651,18240.49,0
42652,18240.49,0
42653,18329.04,88.55
42654,18128.66,-200.38
42655,18144.2,15.54
42656,18098.94,-45.26
42657,18138.38,39.44
42658,18138.38,0
42659,18138.38,0
42660,18086.4,-51.98
42661,18161.94,75.54
42662,18202.62,40.68
42663,18162.35,-40.27
42664,18145.71,-16.64
42665,18145.71,0
42666,18145.71,0
42667,18223.03,77.32
42668,18169.27,-53.76
42669,18199.33,30.06
42670,18169.68,-29.65
42671,18161.19,-8.49
42672,18161.19,0
42673,18161.19,0
42674,18142.42,-18.77
42675,18037.1,-105.32
42676,17959.64,-77.46
42677,17930.67,-28.97
42678,17888.28,-42.39
42679,17888.28,0
42680,17888.28,0
42681,18259.6,371.32
42682,18332.74,73.14
42683,18589.69,256.95
42684,18807.88,218.19
42685,18847.66,39.78
42686,18847.66,0
42687,18847.66,0
42688,18868.69,21.03
42689,18923.06,54.37
42690,18868.14,-54.92
